Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472900,1
